,Average waiting time,queue length,steps,volume
0,0.0,0,0,0
1,0.0,0,10,0
2,0.0,0,20,0
3,0.0,0,30,0
4,0.0,0,40,1
5,0.0,4,50,1
6,0.0,2,60,1
7,0.0,7,70,0
8,16.0,6,80,1
9,13.0,4,90,1
10,0.0,10,100,0
11,9.0,7,110,1
12,22.0,10,120,1
13,0.0,5,130,0
14,24.0,7,140,1
15,12.666666666666666,7,150,3
16,0.0,11,160,0
17,25.0,7,170,1
18,0.0,11,180,0
19,5.0,9,190,2
20,0.0,10,200,0
21,1.5,15,210,2
22,62.0,15,220,1
23,22.0,18,230,1
24,36.0,21,240,3
25,0.0,22,250,0
26,0.0,19,260,1
27,0.0,18,270,1
28,1.0,18,280,1
29,31.0,17,290,2
30,0.0,19,300,0
31,15.0,17,310,2
32,97.5,19,320,2
33,122.0,21,330,1
34,0.0,22,340,0
35,195.0,19,350,1
36,31.0,22,360,1
37,0.0,20,370,0
38,0.0,21,380,0
39,0.0,18,390,0
40,35.5,22,400,2
41,47.0,22,410,3
42,0.0,23,420,0
43,2.0,21,430,1
44,63.0,24,440,1
45,5.333333333333333,21,450,3
46,2.0,27,460,1
47,56.5,30,470,2
48,0.0,27,480,0
49,248.0,25,490,1
50,0.0,26,500,0
51,24.0,23,510,1
52,0.0,28,520,0
53,24.5,26,530,2
54,112.5,27,540,2
55,0.0,26,550,0
56,0.0,24,560,0
57,0.0,26,570,0
58,13.0,19,580,2
59,0.0,21,590,0
60,78.5,20,600,2
61,19.0,20,610,2
62,234.0,22,620,1
63,18.5,23,630,2
64,0.0,27,640,1
65,322.0,25,650,3
66,130.0,30,660,1
67,0.0,29,670,1
68,150.5,30,680,2
69,37.0,29,690,1
70,0.0,31,700,1
71,35.0,35,710,2
72,54.0,31,720,2
73,314.5,28,730,2
74,68.0,30,740,2
75,0.0,33,750,0
76,131.5,34,760,2
77,30.0,33,770,1
78,0.0,32,780,0
79,0.0,30,790,0
80,0.0,30,800,0
81,109.0,32,810,2
82,35.0,32,820,1
83,95.0,36,830,1
84,27.0,29,840,1
85,0.0,29,850,1
86,0.0,28,860,0
87,0.0,31,870,0
88,0.0,28,880,0
89,168.0,28,890,1
90,0.0,28,900,0
91,70.0,26,910,2
92,0.0,29,920,0
93,90.0,32,930,1
94,162.0,31,940,1
95,0.0,31,950,0
96,0.0,32,960,1
97,120.0,35,970,1
98,23.0,38,980,2
99,103.0,38,990,1
100,135.0,36,1000,1
101,0.0,35,1010,0
102,23.5,32,1020,2
103,0.0,30,1030,1
104,0.0,26,1040,0
105,59.0,31,1050,2
106,1.5,32,1060,2
107,250.0,34,1070,1
108,83.0,30,1080,2
109,133.0,31,1090,1
110,88.0,29,1100,1
111,0.0,28,1110,0
112,0.0,25,1120,0
113,25.0,23,1130,1
114,34.0,21,1140,2
115,0.0,25,1150,0
116,35.5,24,1160,2
117,0.0,26,1170,1
118,15.0,23,1180,1
119,0.0,25,1190,0
120,0.0,31,1200,0
121,71.0,26,1210,2
122,37.0,28,1220,2
123,83.0,28,1230,2
124,0.0,26,1240,0
125,258.0,30,1250,1
126,0.0,25,1260,0
127,36.0,28,1270,1
128,0.0,22,1280,0
129,94.5,25,1290,2
130,0.0,20,1300,1
131,115.0,20,1310,1
132,0.0,19,1320,1
133,119.0,22,1330,1
134,83.0,20,1340,1
135,0.0,22,1350,0
136,0.0,24,1360,0
137,0.0,24,1370,0
138,67.5,18,1380,2
139,0.0,20,1390,0
140,73.0,23,1400,2
141,12.5,23,1410,2
142,0.0,26,1420,0
143,32.0,22,1430,2
144,32.0,29,1440,1
145,0.0,28,1450,0
146,57.0,28,1460,2
147,240.0,28,1470,1
148,0.0,34,1480,0
149,15.0,28,1490,1
150,0.0,28,1500,0
151,188.0,25,1510,1
152,424.0,27,1520,1
153,0.0,21,1530,1
154,0.0,25,1540,0
155,100.33333333333333,26,1550,3
156,74.0,27,1560,2
157,0.0,27,1570,0
158,54.0,24,1580,1
159,35.0,25,1590,1
160,0.0,23,1600,0
161,15.0,24,1610,2
162,216.0,24,1620,2
163,128.0,30,1630,1
164,62.0,28,1640,2
165,0.0,30,1650,1
166,0.0,27,1660,0
167,0.0,30,1670,0
168,67.0,26,1680,3
169,47.0,28,1690,1
170,32.0,29,1700,1
171,0.0,31,1710,0
172,0.0,27,1720,0
173,0.0,28,1730,0
174,20.0,21,1740,1
175,36.0,24,1750,1
176,0.0,21,1760,1
177,154.0,25,1770,1
178,0.0,29,1780,0
179,53.0,26,1790,1
180,35.0,22,1800,1
181,0.0,20,1810,0
182,115.5,23,1820,2
183,0.0,23,1830,1
184,0.0,22,1840,2
185,1.0,25,1850,1
186,60.666666666666664,30,1860,3
187,0.0,31,1870,0
188,95.0,29,1880,1
189,3.0,28,1890,1
190,118.33333333333333,32,1900,3
191,11.0,34,1910,1
192,36.0,38,1920,1
193,0.0,32,1930,0
194,36.5,28,1940,2
195,23.666666666666668,31,1950,3
196,0.0,37,1960,0
197,97.0,32,1970,1
198,0.0,29,1980,0
199,124.0,30,1990,1
200,36.0,30,2000,3
201,0.0,32,2010,0
202,0.0,33,2020,0
203,0.0,29,2030,0
204,109.5,25,2040,2
205,0.0,23,2050,0
206,0.0,26,2060,0
207,14.0,23,2070,1
208,103.0,24,2080,2
209,74.0,23,2090,1
210,0.0,23,2100,0
211,264.0,25,2110,2
212,0.0,26,2120,0
213,70.5,23,2130,2
214,110.0,25,2140,1
215,13.0,26,2150,2
216,203.0,25,2160,1
217,0.0,27,2170,1
218,31.0,26,2180,2
219,0.0,29,2190,0
220,58.333333333333336,22,2200,3
221,0.0,26,2210,0
222,51.5,25,2220,2
223,101.0,27,2230,1
224,0.0,27,2240,0
225,0.0,22,2250,0
226,25.5,20,2260,2
227,0.0,23,2270,1
228,2.0,25,2280,1
229,110.0,28,2290,1
230,26.0,27,2300,2
231,109.5,25,2310,2
232,7.0,25,2320,2
233,0.5,29,2330,2
