,0
11,0
11,10
11,20
11,30
11,40
4,50
9,60
6,70
9,80
11,90
9,100
6,110
11,120
11,130
11,140
9,150
9,160
9,170
9,180
9,190
11,200
11,210
9,220
11,230
11,240
7,250
4,260
9,270
9,280
9,290
9,300
4,310
9,320
7,330
11,340
9,350
9,360
4,370
9,380
4,390
9,400
4,410
9,420
4,430
9,440
4,450
9,460
4,470
9,480
9,490
9,500
9,510
9,520
4,530
4,540
4,550
9,560
9,570
9,580
11,590
11,600
9,610
8,620
9,630
9,640
9,650
9,660
4,670
9,680
4,690
9,700
4,710
9,720
4,730
9,740
4,750
9,760
4,770
9,780
4,790
9,800
9,810
9,820
9,830
7,840
4,850
9,860
4,870
9,880
6,890
10,900
10,910
9,920
9,930
9,940
4,950
9,960
4,970
9,980
4,990
4,1000
4,1010
10,1020
9,1030
9,1040
9,1050
9,1060
9,1070
4,1080
4,1090
7,1100
4,1110
9,1120
9,1130
9,1140
9,1150
11,1160
6,1170
9,1180
5,1190
9,1200
5,1210
9,1220
5,1230
9,1240
5,1250
5,1260
9,1270
5,1280
9,1290
9,1300
9,1310
5,1320
4,1330
9,1340
4,1350
4,1360
10,1370
9,1380
9,1390
9,1400
4,1410
9,1420
9,1430
9,1440
10,1450
10,1460
10,1470
8,1480
5,1490
9,1500
5,1510
9,1520
5,1530
9,1540
5,1550
5,1560
5,1570
9,1580
9,1590
9,1600
9,1610
11,1620
9,1630
9,1640
5,1650
9,1660
6,1670
9,1680
5,1690
9,1700
5,1710
9,1720
8,1730
11,1740
8,1750
9,1760
9,1770
9,1780
9,1790
9,1800
5,1810
8,1820
5,1830
9,1840
5,1850
5,1860
9,1870
9,1880
9,1890
9,1900
9,1910
9,1920
6,1930
10,1940
6,1950
9,1960
5,1970
9,1980
5,1990
9,2000
6,2010
9,2020
9,2030
9,2040
9,2050
9,2060
4,2070
9,2080
4,2090
7,2100
4,2110
4,2120
9,2130
9,2140
9,2150
9,2160
9,2170
10,2180
4,2190
9,2200
4,2210
9,2220
5,2230
8,2240
5,2250
9,2260
5,2270
9,2280
4,2290
10,2300
4,2310
9,2320
9,2330
9,2340
9,2350
9,2360
9,2370
9,2380
9,2390
9,2400
5,2410
9,2420
5,2430
9,2440
5,2450
5,2460
5,2470
5,2480
5,2490
5,2500
5,2510
5,2520
5,2530
10,2540
5,2550
5,2560
11,2570
10,2580
0,2590
5,2600
5,2610
5,2620
5,2630
5,2640
11,2650
11,2660
11,2670
5,2680
10,2690
6,2700
11,2710
10,2720
10,2730
10,2740
10,2750
6,2760
10,2770
10,2780
10,2790
10,2800
10,2810
10,2820
10,2830
10,2840
6,2850
10,2860
9,2870
11,2880
9,2890
9,2900
9,2910
9,2920
9,2930
9,2940
9,2950
5,2960
9,2970
4,2980
9,2990
9,3000
9,3010
9,3020
9,3030
9,3040
1,3050
9,3060
