,0
11,0
11,25
11,50
9,75
11,100
10,125
10,150
8,175
3,200
9,225
11,250
6,275
4,300
9,325
6,350
8,375
2,400
9,425
7,450
11,475
7,500
9,525
6,550
7,575
6,600
11,625
9,650
11,675
9,700
6,725
7,750
11,775
9,800
6,825
9,850
11,875
4,900
11,925
1,950
7,975
5,1000
2,1025
7,1050
9,1075
11,1100
9,1125
7,1150
6,1175
7,1200
9,1225
6,1250
10,1275
7,1300
1,1325
0,1350
9,1375
4,1400
11,1425
11,1450
9,1475
7,1500
9,1525
4,1550
9,1575
11,1600
6,1625
5,1650
11,1675
9,1700
7,1725
8,1750
9,1775
7,1800
6,1825
9,1850
11,1875
5,1900
9,1925
0,1950
3,1975
9,2000
7,2025
11,2050
4,2075
11,2100
9,2125
11,2150
4,2175
11,2200
4,2225
6,2250
9,2275
7,2300
4,2325
9,2350
9,2375
9,2400
6,2425
9,2450
6,2475
11,2500
7,2525
4,2550
3,2575
11,2600
5,2625
10,2650
10,2675
9,2700
11,2725
11,2750
4,2775
9,2800
11,2825
9,2850
5,2875
1,2900
5,2925
7,2950
9,2975
4,3000
11,3025
0,3050
10,3075
4,3100
9,3125
11,3150
4,3175
9,3200
8,3225
11,3250
11,3275
11,3300
11,3325
11,3350
11,3375
11,3400
11,3425
11,3450
11,3475
11,3500
11,3525
11,3550
11,3575
11,3600
11,3625
11,3650
11,3675
11,3700
11,3725
11,3750
11,3775
11,3800
11,3825
11,3850
11,3875
11,3900
11,3925
11,3950
11,3975
11,4000
11,4025
11,4050
11,4075
11,4100
11,4125
11,4150
11,4175
11,4200
11,4225
11,4250
11,4275
11,4300
11,4325
11,4350
11,4375
11,4400
11,4425
11,4450
11,4475
11,4500
11,4525
11,4550
11,4575
11,4600
11,4625
11,4650
11,4675
11,4700
11,4725
11,4750
11,4775
11,4800
11,4825
11,4850
11,4875
11,4900
11,4925
11,4950
11,4975
11,5000
11,5025
11,5050
11,5075
11,5100
11,5125
11,5150
11,5175
11,5200
11,5225
11,5250
11,5275
11,5300
11,5325
11,5350
11,5375
11,5400
11,5425
11,5450
11,5475
11,5500
11,5525
11,5550
11,5575
11,5600
11,5625
11,5650
11,5675
11,5700
11,5725
11,5750
11,5775
11,5800
11,5825
11,5850
11,5875
11,5900
11,5925
11,5950
11,5975
11,6000
11,6025
11,6050
11,6075
11,6100
11,6125
11,6150
11,6175
11,6200
11,6225
11,6250
11,6275
11,6300
11,6325
11,6350
11,6375
11,6400
11,6425
11,6450
11,6475
11,6500
11,6525
11,6550
11,6575
11,6600
11,6625
11,6650
11,6675
11,6700
11,6725
11,6750
11,6775
11,6800
11,6825
11,6850
11,6875
11,6900
11,6925
11,6950
11,6975
11,7000
11,7025
11,7050
11,7075
11,7100
11,7125
11,7150
11,7175
11,7200
11,7225
11,7250
11,7275
11,7300
11,7325
11,7350
11,7375
11,7400
11,7425
11,7450
11,7475
11,7500
11,7525
11,7550
11,7575
11,7600
11,7625
11,7650
11,7675
11,7700
11,7725
11,7750
11,7775
11,7800
11,7825
11,7850
11,7875
11,7900
11,7925
11,7950
11,7975
11,8000
11,8025
11,8050
11,8075
11,8100
11,8125
11,8150
11,8175
11,8200
11,8225
11,8250
11,8275
11,8300
11,8325
11,8350
11,8375
11,8400
11,8425
11,8450
11,8475
11,8500
11,8525
11,8550
11,8575
11,8600
11,8625
11,8650
11,8675
11,8700
11,8725
11,8750
11,8775
11,8800
11,8825
11,8850
11,8875
11,8900
11,8925
11,8950
11,8975
11,9000
11,9025
