,Average waiting time,queue length,steps,volume
0,0.0,0,0,0
1,0.0,0,10,0
2,0.0,0,20,0
3,0.0,0,30,0
4,0.0,0,40,2
5,0.0,4,50,0
6,8.5,5,60,2
7,11.0,7,70,2
8,0.0,5,80,0
9,13.0,7,90,3
10,0.0,9,100,0
11,0.0,9,110,2
12,18.0,14,120,1
13,27.0,16,130,2
14,15.0,18,140,1
15,37.0,19,150,1
16,64.0,18,160,1
17,29.0,22,170,3
18,69.0,26,180,2
19,0.0,28,190,0
20,45.0,31,200,2
21,45.0,30,210,1
22,0.0,31,220,0
23,0.0,28,230,1
24,0.0,32,240,0
25,0.0,30,250,0
26,30.0,32,260,1
27,0.0,30,270,0
28,57.0,33,280,1
29,70.0,29,290,2
30,0.0,37,300,0
31,56.333333333333336,35,310,3
32,31.0,42,320,1
33,0.0,35,330,0
34,0.0,37,340,0
35,34.5,38,350,2
36,218.0,37,360,3
37,38.0,39,370,2
38,0.0,40,380,0
39,58.0,38,390,3
40,692.0,41,400,1
41,7.0,41,410,1
42,48.333333333333336,46,420,3
43,31.0,50,430,1
44,17.0,51,440,1
45,0.0,56,450,0
46,82.0,56,460,2
47,0.0,60,470,0
48,0.0,61,480,0
49,82.0,60,490,1
50,169.0,62,500,1
51,47.0,63,510,1
52,0.0,60,520,0
53,1269.0,63,530,1
54,99.5,63,540,2
55,0.0,67,550,0
56,45.0,63,560,2
57,109.0,67,570,1
58,143.0,65,580,1
59,45.0,62,590,2
60,45.0,70,600,1
61,45.0,72,610,1
62,0.0,66,620,0
63,65.0,72,630,2
64,197.0,70,640,1
65,72.0,63,650,1
66,36.0,62,660,1
67,288.0,62,670,2
68,122.0,70,680,2
69,121.5,63,690,2
70,36.0,61,700,1
71,0.0,68,710,0
72,195.0,68,720,1
73,155.5,63,730,4
74,142.0,63,740,1
75,45.0,69,750,1
76,0.0,73,760,0
77,45.0,70,770,1
78,178.0,71,780,1
79,165.0,74,790,1
80,97.0,73,800,3
81,54.0,77,810,2
82,108.0,78,820,1
83,94.0,73,830,1
84,190.0,80,840,1
85,230.0,80,850,1
86,115.0,68,860,1
87,36.0,68,870,2
88,44.0,72,880,1
89,0.0,83,890,0
90,87.0,79,900,1
91,694.5,73,910,2
92,115.5,77,920,2
93,98.5,77,930,2
94,173.33333333333334,77,940,3
95,189.0,85,950,1
96,199.0,86,960,1
97,143.5,79,970,2
98,293.2,87,980,5
99,165.5,94,990,2
100,92.0,88,1000,3
101,90.0,88,1010,2
102,138.5,90,1020,2
103,263.0,94,1030,3
104,200.0,93,1040,2
105,104.0,94,1050,2
106,104.25,95,1060,4
107,234.0,88,1070,3
108,114.33333333333333,97,1080,3
109,148.33333333333334,90,1090,3
110,182.0,96,1100,2
111,123.33333333333333,98,1110,3
112,103.0,88,1120,3
113,143.0,92,1130,2
114,141.33333333333334,95,1140,3
115,420.75,95,1150,4
116,157.66666666666666,93,1160,3
117,154.0,98,1170,3
118,179.0,101,1180,1
119,163.0,103,1190,3
120,189.75,109,1200,4
121,385.25,106,1210,4
122,110.33333333333333,106,1220,3
123,166.66666666666666,110,1230,3
124,177.0,108,1240,4
125,185.33333333333334,113,1250,3
126,194.75,110,1260,4
127,167.2,108,1270,5
128,149.5,101,1280,4
129,134.25,105,1290,4
130,157.66666666666666,103,1300,3
131,91.33333333333333,93,1310,3
132,132.0,99,1320,2
133,357.75,101,1330,4
134,435.5,103,1340,4
135,119.25,100,1350,4
136,147.0,109,1360,4
137,175.0,108,1370,3
138,134.66666666666666,105,1380,3
139,168.33333333333334,107,1390,3
140,135.75,105,1400,4
141,159.0,111,1410,4
142,199.25,109,1420,4
143,171.25,110,1430,4
144,320.2,109,1440,5
145,199.5,111,1450,4
146,174.25,114,1460,4
147,141.0,106,1470,3
148,183.5,101,1480,4
149,175.0,110,1490,2
150,201.33333333333334,115,1500,3
151,180.33333333333334,120,1510,3
152,191.8,118,1520,5
153,219.75,124,1530,4
154,234.5,122,1540,6
155,233.0,128,1550,4
156,255.25,127,1560,4
157,327.6,124,1570,5
158,266.25,124,1580,4
159,274.4,116,1590,5
160,206.5,115,1600,2
161,275.3333333333333,120,1610,3
162,352.0,123,1620,4
163,340.0,125,1630,4
164,414.0,122,1640,5
165,431.6666666666667,122,1650,6
166,500.6,121,1660,5
167,536.75,122,1670,4
168,263.8,121,1680,5
169,221.4,126,1690,5
170,172.6,128,1700,5
171,200.0,128,1710,5
172,191.6,136,1720,5
173,223.0,132,1730,5
174,255.6,127,1740,5
175,239.8,134,1750,5
176,223.8,135,1760,5
177,288.6,134,1770,5
178,333.0,138,1780,5
179,260.0,135,1790,5
180,198.6,134,1800,5
181,217.6,137,1810,5
182,221.0,134,1820,5
183,184.8,130,1830,5
184,184.6,131,1840,5
185,373.3333333333333,135,1850,6
186,409.8333333333333,139,1860,6
187,329.8333333333333,134,1870,6
188,243.4,140,1880,5
189,234.5,142,1890,4
190,188.0,135,1900,4
191,183.5,135,1910,4
192,237.75,136,1920,4
193,234.75,129,1930,4
194,257.75,133,1940,4
195,278.0,132,1950,4
196,239.2,128,1960,5
197,459.0,141,1970,5
198,237.33333333333334,131,1980,6
199,277.2,137,1990,5
200,182.66666666666666,131,2000,3
201,169.75,129,2010,4
202,228.5,133,2020,4
203,367.4,132,2030,5
204,320.1666666666667,131,2040,6
205,252.0,132,2050,4
206,263.8,129,2060,5
207,359.5,138,2070,6
208,366.6666666666667,134,2080,6
209,414.4,137,2090,5
210,312.2,131,2100,5
211,173.4,133,2110,5
212,238.0,139,2120,4
213,248.25,128,2130,4
214,549.6,130,2140,5
215,362.1666666666667,131,2150,6
216,212.6,127,2160,5
217,362.5,137,2170,4
218,267.4,130,2180,5
219,263.8,128,2190,5
220,299.8,132,2200,5
221,309.8,137,2210,5
222,369.6,145,2220,5
223,239.33333333333334,139,2230,6
224,212.33333333333334,145,2240,6
225,234.8,148,2250,5
226,236.5,147,2260,6
