,Average waiting time,queue length,steps,volume
0,0.0,0,0,0
1,0.0,0,5,0
2,0.0,0,10,0
3,0.0,0,15,0
4,0.0,0,20,0
5,0.0,0,25,0
6,0.0,0,30,0
7,0.0,0,35,1
8,0.0,0,40,2
9,0.0,2,45,2
10,0.0,4,50,0
11,0.0,3,55,0
12,8.5,4,60,2
13,0.0,5,65,0
14,0.5,7,70,2
15,0.0,7,75,1
16,0.0,8,80,0
17,0.0,7,85,0
18,12.666666666666666,7,90,3
19,4.666666666666667,8,95,3
20,0.0,10,100,0
21,9.0,11,105,2
22,2.5,9,110,2
23,12.0,12,115,1
24,21.0,16,120,1
25,12.5,16,125,2
26,24.5,17,130,2
27,0.0,21,135,0
28,3.0,22,140,1
29,29.5,23,145,2
30,25.0,22,150,1
31,6.0,24,155,2
32,64.0,27,160,1
33,36.5,26,165,2
34,26.666666666666668,27,170,3
35,102.0,31,175,1
36,68.5,33,180,2
37,0.0,34,185,0
38,0.0,35,190,0
39,0.0,33,195,0
40,57.0,37,200,2
41,36.666666666666664,38,205,3
42,29.0,35,210,1
43,0.0,37,215,0
44,0.0,36,220,0
45,19.0,32,225,1
46,3.0,37,230,1
47,37.0,39,235,2
48,0.0,40,240,0
49,52.0,36,245,1
50,0.0,32,250,0
51,0.0,39,255,0
52,42.0,38,260,1
53,52.0,38,265,1
54,0.0,39,270,0
55,0.0,45,275,0
56,63.0,41,280,1
57,113.0,44,285,2
58,68.5,37,290,2
59,572.0,44,295,1
60,0.0,45,300,0
61,62.0,46,305,1
62,237.33333333333334,42,310,3
63,15.5,43,315,2
64,59.0,50,320,1
65,0.0,46,325,0
66,0.0,49,330,0
67,0.0,49,335,0
68,0.0,51,340,0
69,318.0,44,345,2
70,44.0,48,350,2
71,667.0,49,355,1
72,266.0,48,360,3
73,33.5,46,365,2
74,28.0,50,370,2
75,350.0,49,375,1
76,0.0,51,380,0
77,0.0,51,385,0
78,27.0,48,390,3
79,70.0,51,395,1
80,3.0,53,400,1
81,42.0,54,405,2
82,28.0,47,410,1
83,77.0,56,415,1
84,54.0,61,420,3
85,67.33333333333333,60,425,3
86,0.0,60,430,0
87,60.0,57,435,1
88,54.0,62,440,1
89,33.0,66,445,1
90,0.0,66,450,0
91,52.0,63,455,1
92,109.0,68,460,2
93,39.0,71,465,1
94,0.0,69,470,0
95,0.0,73,475,0
96,0.0,68,480,0
97,105.0,71,485,1
98,77.0,77,490,1
99,0.0,74,495,0
100,85.0,75,500,1
101,0.0,68,505,0
102,963.0,73,510,1
103,0.0,73,515,0
104,0.0,70,520,0
105,97.0,73,525,2
106,1282.0,69,530,1
107,141.0,71,535,1
108,45.0,75,540,1
109,0.0,83,545,0
110,0.0,83,550,0
111,127.0,82,555,2
112,53.5,75,560,2
113,0.0,76,565,0
114,47.0,78,570,1
115,0.0,75,575,0
116,80.0,81,580,1
117,268.0,77,585,1
118,104.5,79,590,2
119,144.5,81,595,2
120,91.0,80,600,2
121,102.0,83,605,1
122,52.0,80,610,1
123,103.0,80,615,3
124,0.0,87,620,0
125,0.0,82,625,0
126,101.33333333333333,81,630,3
127,100.0,88,635,2
128,95.5,83,640,2
129,110.0,84,645,2
130,111.5,83,650,2
131,97.5,82,655,2
132,123.0,88,660,2
133,92.0,86,665,2
134,144.0,86,670,1
135,131.0,85,675,2
136,118.5,86,680,2
137,125.5,87,685,2
138,131.0,88,690,1
139,308.3333333333333,90,695,3
140,106.0,85,700,2
141,94.0,83,705,3
142,83.0,89,710,2
143,100.0,89,715,1
144,70.0,84,720,1
145,128.66666666666666,84,725,3
146,93.0,88,730,4
147,165.25,87,735,4
148,128.0,93,740,2
149,134.33333333333334,99,745,3
150,127.0,102,750,3
