,Average waiting time,queue length,steps,volume
0,0.0,0,0,0
1,0.0,0,25,0
2,0.0,4,50,0
3,74.0,12,75,1
4,0.0,16,100,0
5,19.0,19,125,2
6,17.0,21,150,1
7,102.0,21,175,1
8,212.0,31,200,2
9,397.0,22,225,1
10,0.0,19,250,0
11,0.0,18,275,0
12,0.0,16,300,0
13,0.0,21,325,0
14,54.5,15,350,2
15,316.0,16,375,1
16,409.0,18,400,1
17,68.0,20,425,3
18,0.0,21,450,0
19,0.0,24,475,0
20,0.0,19,500,1
21,20.5,13,525,2
22,0.0,19,550,0
23,0.0,17,575,0
24,18.0,9,600,1
25,0.0,19,625,1
26,0.0,15,650,1
27,115.0,15,675,1
28,0.0,14,700,0
29,62.0,14,725,1
30,88.0,20,750,1
31,0.0,17,775,1
32,18.5,21,800,2
33,0.0,21,825,0
34,0.0,11,850,0
35,83.0,17,875,2
36,0.0,18,900,0
37,0.0,16,925,0
38,0.0,20,950,0
39,54.0,19,975,1
40,24.0,23,1000,1
41,195.0,20,1025,1
42,75.0,23,1050,1
43,0.0,18,1075,1
44,0.0,19,1100,0
45,0.0,15,1125,1
46,8.5,20,1150,2
47,0.0,19,1175,1
48,0.0,19,1200,0
49,0.0,21,1225,0
50,0.0,20,1250,0
51,294.0,19,1275,1
52,0.0,12,1300,0
53,123.0,22,1325,1
54,191.0,27,1350,1
55,37.0,22,1375,2
56,0.0,23,1400,0
57,0.0,17,1425,0
58,0.0,19,1450,1
59,0.0,21,1475,0
60,113.0,25,1500,4
61,35.0,25,1525,2
62,0.0,29,1550,1
63,79.0,27,1575,1
64,0.0,32,1600,1
65,0.0,28,1625,0
66,0.0,25,1650,1
67,144.5,26,1675,2
68,53.0,23,1700,1
69,0.0,24,1725,0
70,85.66666666666667,22,1750,3
71,0.0,26,1775,0
72,0.0,15,1800,0
73,0.0,18,1825,0
74,0.0,19,1850,0
75,0.0,18,1875,0
76,71.33333333333333,15,1900,3
77,0.0,17,1925,0
78,20.0,11,1950,1
79,0.0,17,1975,0
80,163.0,17,2000,1
81,51.0,13,2025,2
82,115.5,17,2050,2
83,0.0,19,2075,0
84,153.0,20,2100,1
85,0.0,22,2125,0
86,0.0,16,2150,1
87,0.0,18,2175,0
88,39.5,22,2200,2
89,260.0,24,2225,1
90,73.0,20,2250,2
91,71.0,20,2275,1
92,158.0,25,2300,2
93,0.0,24,2325,0
94,0.0,24,2350,0
95,0.0,29,2375,0
96,0.0,21,2400,0
97,0.0,24,2425,0
98,292.0,23,2450,1
99,0.0,15,2475,0
100,81.0,23,2500,2
101,0.0,22,2525,0
102,0.0,17,2550,1
103,169.0,14,2575,1
104,198.0,16,2600,1
105,6.0,15,2625,1
106,85.0,18,2650,1
107,139.5,19,2675,2
108,0.0,15,2700,1
109,41.0,12,2725,1
110,0.0,18,2750,1
111,0.0,18,2775,0
112,24.0,21,2800,1
113,23.0,24,2825,2
114,85.0,26,2850,2
115,165.5,25,2875,2
116,0.0,23,2900,0
117,64.0,18,2925,1
118,0.0,23,2950,0
119,238.0,23,2975,1
120,269.0,24,3000,2
121,225.5,24,3025,2
122,103.5,27,3050,2
123,0.0,28,3075,1
124,103.5,22,3100,2
125,131.0,26,3125,1
126,0.0,24,3150,0
127,148.0,23,3175,1
128,0.0,28,3200,1
129,0.0,28,3225,0
130,0.0,14,3250,0
131,0.0,10,3275,0
132,0.0,2,3300,0
133,0.0,0,3325,0
134,0.0,0,3350,0
