,Average waiting time,queue length,steps,volume
0,0.0,0,0,0
1,0.0,0,25,0
2,0.0,4,50,0
3,74.0,14,75,1
4,0.0,17,100,0
5,73.0,29,125,2
6,0.0,37,150,1
7,352.0,52,175,1
8,386.5,58,200,2
9,1373.0,54,225,1
10,0.0,42,250,0
11,2459.0,64,275,1
12,1149.0,55,300,3
13,745.5,47,325,2
14,100.0,38,350,1
15,518.5,55,375,2
16,668.6666666666666,60,400,3
17,713.6666666666666,55,425,3
18,2532.0,56,450,1
19,0.0,53,475,0
20,281.0,70,500,1
21,280.0,59,525,2
22,2169.0,71,550,1
23,780.0,55,575,1
24,264.0,55,600,1
25,0.0,63,625,0
26,900.0,78,650,1
27,0.0,64,675,0
28,748.0,87,700,2
29,909.0,71,725,2
30,2492.0,75,750,1
31,0.0,70,775,0
32,622.6666666666666,93,800,3
33,1310.0,80,825,1
34,289.0,73,850,1
35,780.5,75,875,2
36,1470.0,96,900,2
37,0.0,62,925,0
38,1144.0,99,950,3
39,302.0,71,975,3
40,1590.0,86,1000,3
41,385.3333333333333,75,1025,3
42,844.0,74,1050,1
43,284.0,73,1075,1
44,0.0,57,1100,1
45,269.0,77,1125,1
46,627.0,69,1150,2
47,2044.0,69,1175,1
48,295.0,67,1200,1
49,1074.0,74,1225,1
50,757.0,64,1250,1
51,331.3333333333333,66,1275,3
52,1234.0,78,1300,1
53,971.0,67,1325,2
54,148.0,54,1350,2
55,288.0,60,1375,1
56,1080.5,49,1400,2
57,0.0,36,1425,0
58,0.0,59,1450,0
59,942.0,68,1475,2
60,761.6666666666666,59,1500,3
61,739.5,69,1525,4
62,1546.0,69,1550,2
63,149.5,57,1575,2
64,165.0,60,1600,2
65,955.0,89,1625,1
66,927.0,67,1650,2
67,430.0,56,1675,3
68,1202.3333333333333,77,1700,3
69,2318.0,68,1725,1
70,218.5,69,1750,4
71,852.0,89,1775,1
72,766.0,64,1800,1
73,2398.0,65,1825,1
74,771.0,62,1850,1
75,0.0,57,1875,0
76,258.0,77,1900,3
77,1185.5,69,1925,2
78,3181.0,64,1950,2
79,0.0,45,1975,1
80,565.0,69,2000,4
81,687.75,51,2025,4
82,1125.0,52,2050,2
83,1608.5,71,2075,2
84,0.0,43,2100,0
85,955.0,72,2125,2
86,486.0,62,2150,2
87,1477.5,83,2175,2
88,394.0,56,2200,3
89,245.5,74,2225,2
90,884.5,69,2250,4
91,1104.5,65,2275,2
92,516.0,61,2300,1
93,337.3333333333333,70,2325,3
94,479.5,69,2350,2
95,260.5,67,2375,2
96,403.0,67,2400,2
97,1398.0,74,2425,1
98,50.0,56,2450,1
99,283.0,72,2475,1
100,818.0,68,2500,2
101,2109.0,80,2525,1
102,418.0,68,2550,2
103,2874.0,51,2575,1
104,1455.5,54,2600,2
105,464.6666666666667,72,2625,3
106,14.5,41,2650,2
107,628.0,76,2675,3
108,2425.0,79,2700,1
109,0.0,70,2725,0
110,0.0,93,2750,1
111,1776.6666666666667,100,2775,3
112,701.5,71,2800,2
113,1349.5,87,2825,2
114,1057.75,105,2850,4
115,3035.3333333333335,102,2875,3
116,2177.3333333333335,87,2900,3
117,698.5,81,2925,4
118,2935.0,80,2950,1
119,496.0,92,2975,2
120,360.6666666666667,84,3000,3
121,826.0,75,3025,2
122,774.6666666666666,99,3050,3
123,432.0,78,3075,2
124,733.0,83,3100,2
125,1019.0,71,3125,2
126,0.0,79,3150,0
127,771.0,103,3175,2
128,413.5,77,3200,2
129,3694.0,89,3225,1
130,0.0,83,3250,0
131,0.0,95,3275,0
132,0.0,95,3300,0
133,0.0,95,3325,0
134,0.0,95,3350,0
135,0.0,95,3375,0
136,0.0,94,3400,0
137,0.0,93,3425,0
138,0.0,93,3450,0
139,0.0,93,3475,0
140,0.0,93,3500,0
141,0.0,91,3525,0
142,0.0,90,3550,0
143,0.0,89,3575,0
144,0.0,89,3600,0
145,0.0,89,3625,0
146,0.0,89,3650,0
147,0.0,89,3675,0
148,0.0,87,3700,0
149,0.0,87,3725,0
150,0.0,87,3750,0
151,0.0,87,3775,0
152,0.0,87,3800,0
153,0.0,81,3825,0
154,0.0,84,3850,0
155,0.0,83,3875,0
156,0.0,83,3900,0
157,0.0,83,3925,0
158,0.0,83,3950,0
159,0.0,83,3975,0
160,0.0,78,4000,0
161,0.0,81,4025,0
162,0.0,81,4050,0
163,0.0,81,4075,0
164,0.0,81,4100,0
165,0.0,71,4125,0
166,0.0,74,4150,0
167,0.0,75,4175,0
168,0.0,77,4200,0
169,0.0,77,4225,0
170,0.0,77,4250,0
171,0.0,77,4275,0
172,0.0,72,4300,0
173,0.0,71,4325,0
174,0.0,75,4350,0
175,0.0,75,4375,0
176,0.0,75,4400,0
177,0.0,65,4425,0
178,0.0,68,4450,0
179,0.0,67,4475,0
180,0.0,71,4500,0
181,0.0,71,4525,0
182,0.0,71,4550,0
183,0.0,71,4575,0
184,0.0,67,4600,0
185,0.0,66,4625,0
186,0.0,69,4650,0
187,0.0,69,4675,0
188,0.0,69,4700,0
189,0.0,61,4725,0
190,0.0,63,4750,0
191,0.0,62,4775,0
192,0.0,65,4800,0
193,0.0,65,4825,0
194,0.0,65,4850,0
195,0.0,65,4875,0
196,0.0,65,4900,0
197,0.0,64,4925,0
198,0.0,63,4950,0
199,0.0,63,4975,0
200,0.0,63,5000,0
201,0.0,63,5025,0
202,0.0,61,5050,0
203,0.0,60,5075,0
204,0.0,59,5100,0
205,0.0,59,5125,0
206,0.0,59,5150,0
207,0.0,59,5175,0
208,0.0,59,5200,0
209,0.0,58,5225,0
210,0.0,57,5250,0
211,0.0,57,5275,0
212,0.0,57,5300,0
213,0.0,57,5325,0
214,0.0,55,5350,0
215,0.0,54,5375,0
216,0.0,53,5400,0
217,0.0,53,5425,0
218,0.0,53,5450,0
219,0.0,53,5475,0
220,0.0,53,5500,0
221,0.0,52,5525,0
222,0.0,51,5550,0
223,0.0,51,5575,0
224,0.0,51,5600,0
225,0.0,51,5625,0
226,0.0,47,5650,0
227,0.0,48,5675,0
228,0.0,47,5700,0
229,0.0,47,5725,0
230,0.0,47,5750,0
231,0.0,47,5775,0
232,0.0,47,5800,0
233,0.0,42,5825,0
234,0.0,45,5850,0
235,0.0,45,5875,0
236,0.0,45,5900,0
237,0.0,45,5925,0
238,0.0,35,5950,0
239,0.0,39,5975,0
240,0.0,40,6000,0
241,0.0,41,6025,0
242,0.0,41,6050,0
243,0.0,41,6075,0
244,0.0,41,6100,0
245,0.0,37,6125,0
246,0.0,37,6150,0
247,0.0,39,6175,0
248,0.0,39,6200,0
249,0.0,39,6225,0
250,0.0,31,6250,0
251,0.0,33,6275,0
252,0.0,32,6300,0
253,0.0,35,6325,0
254,0.0,35,6350,0
255,0.0,35,6375,0
256,0.0,35,6400,0
257,0.0,35,6425,0
258,0.0,34,6450,0
259,0.0,33,6475,0
260,0.0,33,6500,0
261,0.0,33,6525,0
262,0.0,33,6550,0
263,0.0,31,6575,0
264,0.0,30,6600,0
265,0.0,29,6625,0
266,0.0,29,6650,0
267,0.0,29,6675,0
268,0.0,29,6700,0
269,0.0,29,6725,0
270,0.0,28,6750,0
271,0.0,27,6775,0
272,0.0,27,6800,0
273,0.0,27,6825,0
274,0.0,27,6850,0
275,0.0,25,6875,0
276,0.0,24,6900,0
277,0.0,23,6925,0
278,0.0,23,6950,0
279,0.0,23,6975,0
280,0.0,23,7000,0
281,0.0,23,7025,0
282,0.0,22,7050,0
283,0.0,22,7075,0
284,0.0,22,7100,0
285,0.0,22,7125,0
286,0.0,22,7150,0
287,0.0,20,7175,0
288,0.0,19,7200,0
289,0.0,18,7225,0
290,0.0,18,7250,0
291,0.0,18,7275,0
292,0.0,18,7300,0
293,0.0,18,7325,0
294,0.0,17,7350,0
295,0.0,17,7375,0
296,0.0,17,7400,0
297,0.0,17,7425,0
298,0.0,17,7450,0
299,0.0,14,7475,0
300,0.0,14,7500,0
301,0.0,13,7525,0
302,0.0,13,7550,0
303,0.0,13,7575,0
304,0.0,13,7600,0
305,0.0,13,7625,0
306,0.0,10,7650,0
307,0.0,12,7675,0
308,0.0,12,7700,0
309,0.0,12,7725,0
310,0.0,12,7750,0
311,0.0,5,7775,0
312,0.0,8,7800,0
313,0.0,9,7825,0
314,0.0,9,7850,0
315,0.0,9,7875,0
316,0.0,9,7900,0
317,0.0,9,7925,0
318,0.0,9,7950,0
319,0.0,8,7975,0
320,0.0,8,8000,0
321,0.0,8,8025,0
322,0.0,8,8050,0
323,0.0,8,8075,0
324,0.0,6,8100,0
325,0.0,5,8125,0
326,0.0,5,8150,0
327,0.0,5,8175,0
328,0.0,5,8200,0
329,0.0,5,8225,0
330,0.0,5,8250,0
331,0.0,4,8275,0
332,0.0,4,8300,0
333,0.0,4,8325,0
334,0.0,4,8350,0
335,0.0,4,8375,0
336,0.0,2,8400,0
337,0.0,2,8425,0
338,0.0,2,8450,0
339,0.0,2,8475,0
340,0.0,2,8500,0
341,0.0,2,8525,0
342,0.0,2,8550,0
343,0.0,2,8575,0
344,0.0,2,8600,0
345,0.0,2,8625,0
346,0.0,2,8650,0
347,0.0,2,8675,0
348,0.0,1,8700,0
349,0.0,1,8725,0
350,0.0,1,8750,0
351,0.0,1,8775,0
352,0.0,1,8800,0
353,0.0,1,8825,0
354,0.0,1,8850,0
355,0.0,1,8875,0
356,0.0,1,8900,0
357,0.0,1,8925,0
358,0.0,1,8950,0
359,0.0,1,8975,0
360,0.0,0,9000,0
361,0.0,0,9025,0
